Sample,logFC,pval,pval_corr,log_pval
ARHGEF10L,-0.36934318184340675,4.98863336813853e-23,1.0241664304788402e-18,17.989629463315847
HIF3A,-0.682493558937634,5.516137306535656e-08,0.0011324629890317702,2.945975982623676
RNF17,2.5660801090394467,0.009703583548015668,1.0,-0.0
RNF10,-0.11518762467340515,5.440931044985234e-14,1.1170231435354684e-09,8.95193782866987
RNF11,-0.5080708562721856,6.737118692140446e-128,1.3831304674964336e-123,122.85913685196493
RNF13,-0.2701344957108329,9.873295529586498e-28,2.026987572224108e-23,22.693148914025805
GTF2IP1,0.24579471782656448,6.510119912046045e-18,1.336527617943053e-13,12.874022062574229
REM1,-0.363771511151465,0.0004977452113485173,1.0,-0.0
MTVR2,0.3199836005105081,0.005301614293050652,1.0,-0.0
RTN4RL2,0.2007288624489787,0.1284748215830392,1.0,-0.0
C16orf13,0.7729038480717652,2.3049517308792966e-40,4.732065903495196e-36,35.32494921558151
C16orf11,-4.20949217999032,4.584782556580904e-196,9.412558588660596e-192,191.02629230750807
FGFR1OP2,-0.14691225995328772,1.2295536036309726e-07,0.002524273548254387,2.597863583635452
TSKS,0.7904573118652811,0.003209814170223317,1.0,-0.0
ATRX,-0.24040575461592972,1.8662981090800708e-13,3.8315100179413855e-09,8.416630034590924
PMM2,0.5772260618829215,4.880323980687748e-56,1.0019305132351945e-51,50.99916239699667
LOC100272146,0.9474838316854317,2.4430039107338282e-31,5.01548702873655e-27,26.299686888441578
ASS1,-1.6223361047764708,1.663005344920694e-81,3.414149973122185e-77,76.46671740557956
NCBP1,0.2929827860188787,3.3007150771822964e-31,6.776368053455255e-27,26.16900301365083
ZNF709,-0.19234271748384302,2.5460315150998807e-05,0.5227002700500055,0.2817472755265139
ZNF708,0.116729189233582,0.010306470364031003,1.0,-0.0
RBM14,0.3460857605513272,6.24099114772574e-43,1.2812754826280945e-38,37.892357484055026
NCBP2,0.5527886322618443,2.299303361752269e-74,4.720469801677408e-70,69.32601477633993
DISC1,0.8433050252892595,1.0477294466223868e-22,2.1509885539157603e-18,17.66736190062344
CAMK1,-0.14086598976277998,0.007341097614546529,1.0,-0.0
RPL37,0.5377487337010791,3.339842665058212e-27,6.856696991364509e-23,22.163885042292833
SPR,0.0014650679347312234,0.9705047827160609,1.0,-0.0
ZNF700,0.3373990872350605,1.394046788310787e-16,2.861978056402046e-12,11.543333700422517
ZNF707,0.7737279937866912,2.92902019557402e-94,6.013278461513463e-90,89.22088868448003
CAMK4,0.6931227630515391,0.0006238557273174262,1.0,-0.0
ZNF704,-0.498472924670061,3.3868894150963864e-23,6.953283969192881e-19,18.157810033848214
LOC339240,0.10358449606131992,0.6691276048485147,1.0,-0.0
GOLGA6B,-0.6332158508669732,0.0002993323415976176,1.0,-0.0
RNF115,0.06981121662098744,0.007399427710284889,1.0,-0.0
RNF112,1.1813505593788536,1.4707519154707588e-06,0.03019453682461468,1.5200716279552111
ZC3H14,-0.17804884229914464,7.568412590304298e-21,1.5537951047894725e-16,15.80860625112465
SPN,0.0328912735560003,0.8787236458620731,1.0,-0.0
HMGCLL1,-0.6012680529402106,3.456758741366693e-06,0.07096725696025821,1.1489419808785688
NACAP1,0.12698077147009634,0.0008005266419391376,1.0,-0.0
LRRTM1,2.2602852275753538,0.00020953796478450458,1.0,-0.0
GRIN1,0.2347295207038398,0.5430849480093662,1.0,-0.0
RBMY1A3P,0.022328187489246178,0.10947273535490679,1.0,-0.0
DHX8,0.17900091763720205,7.43689110803998e-17,1.5267937444806078e-12,11.816219628093595
DHX9,0.20823771258300638,1.0945340293460076e-27,2.2470783622473537e-23,22.648381782187812
LOC441204,0.21314932935186626,0.013587837009543559,1.0,-0.0
TCOF1,0.8757437888158304,3.5822077143793724e-90,7.354272437620851e-86,85.13346028581284
LRRTM3,2.4268009686012184,2.01903088555525e-08,0.0004145070408044928,3.3824680881376654
NUP98,-0.041091641796480616,0.04231181635984007,1.0,-0.0
XPC,-0.26902323671190764,3.0374055000590846e-29,6.2357934916213005e-25,24.205108275608655
